code,name,description,category,level
C1.1,Comprendre un texte,Capacité à comprendre et analyser un texte écrit,Français,6ème
C1.2,Rédiger un texte,Capacité à rédiger un texte cohérent,Français,6ème
C1.3,Maîtriser l'orthographe,Appliquer les règles orthographiques,Français,6ème
M1.1,Calcul mental,Maîtriser les opérations de base mentalement,Mathématiques,6ème
M1.2,Résolution de problèmes,Résoudre des problèmes mathématiques complexes,Mathématiques,6ème
M1.3,Géométrie,Comprendre et appliquer les concepts géométriques,Mathématiques,6ème
H1.1,Se repérer dans le temps,Situer des événements historiques sur une frise chronologique,Histoire,6ème
H1.2,Analyser un document,Extraire des informations d'un document historique,Histoire,6ème
G1.1,Se repérer dans l'espace,Utiliser des cartes et plans,Géographie,6ème
S1.1,Démarche scientifique,Appliquer la démarche d'investigation,Sciences,6ème
