code,name,description,category
F1.1,Comprendre un texte,Extraire des informations explicites et implicites d'un texte,Français - Lecture
F1.2,Produire un écrit,Rédiger un texte cohérent en respectant les contraintes,Français - Écriture
F2.1,Orthographe,Maîtriser l'orthographe des mots courants,Français - Langue
F2.2,Grammaire,Identifier et utiliser les classes grammaticales,Français - Langue
M1.1,Calcul mental,Effectuer des calculs rapides et exacts,Mathématiques - Calcul
M1.2,Calcul posé,Maîtriser les techniques opératoires,Mathématiques - Calcul
M2.1,Géométrie,Connaître et utiliser les propriétés géométriques,Mathématiques - Géométrie
M2.2,Mesures,Utiliser les unités de mesure appropriées,Mathématiques - Grandeurs
H1.1,Se repérer dans le temps,Utiliser des repères historiques,Histoire-Géographie
H1.2,Se repérer dans l'espace,Utiliser des repères géographiques,Histoire-Géographie
S1.1,Démarche scientifique,Observer et questionner le monde,Sciences
S1.2,Expérimentation,Mener une démarche d'investigation,Sciences
A1.1,Expression orale,S'exprimer en anglais de façon compréhensible,Anglais
A1.2,Compréhension orale,Comprendre l'essentiel d'un message oral,Anglais
